X,Y,y3_hhid,lat_mod,lon_mod,DN,Label,Description
35.70721,-3.37219,0193-001,-3.37219,35.70721,102,lo-lo,"Low agricultural potential, Low market access"
35.70721,-3.37219,0194-001,-3.37219,35.70721,102,lo-lo,"Low agricultural potential, Low market access"
35.70721,-3.37219,0195-001,-3.37219,35.70721,102,lo-lo,"Low agricultural potential, Low market access"
35.70721,-3.37219,0196-001,-3.37219,35.70721,102,lo-lo,"Low agricultural potential, Low market access"
35.70721,-3.37219,0197-001,-3.37219,35.70721,102,lo-lo,"Low agricultural potential, Low market access"
35.74726,-2.14105,0198-001,-2.14105,35.74726,102,lo-lo,"Low agricultural potential, Low market access"
35.75674,-2.08472,0199-001,-2.08472,35.75674,102,lo-lo,"Low agricultural potential, Low market access"
35.74726,-2.14105,0200-001,-2.14105,35.74726,102,lo-lo,"Low agricultural potential, Low market access"
35.74726,-2.14105,0201-001,-2.14105,35.74726,102,lo-lo,"Low agricultural potential, Low market access"
35.74726,-2.14105,0202-001,-2.14105,35.74726,102,lo-lo,"Low agricultural potential, Low market access"
35.74726,-2.14105,0203-001,-2.14105,35.74726,102,lo-lo,"Low agricultural potential, Low market access"
35.74726,-2.14105,0204-001,-2.14105,35.74726,102,lo-lo,"Low agricultural potential, Low market access"
35.74726,-2.14105,0205-001,-2.14105,35.74726,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0206-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0207-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0208-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0209-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0209-003,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0210-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
35.35704,-3.21051,0211-001,-3.21051,35.35704,102,lo-lo,"Low agricultural potential, Low market access"
