hhid,hc_seq_5m,res03_crav6190l_silr_cer
07030171200077,5022471,4
07030180070003,5022471,4
07030180070007,5022471,4
07030180070011,5022471,4
07030180070021,5022471,4
07030180070022,5022471,4
07030180070042,5022471,4
07030180070052,5022471,4
07030180070060,5022471,4
07030180250006,5022471,4
07030180250018,5022471,4
07030180250035,5022471,4
07030180250038,5022471,4
07030180250063,5022471,4
07030180250074,5022471,4
07030180250084,5022471,4
07030180250102,5022471,4
07030190960009,5022470,5
07030190960016,5022470,5
07030190960035,5022470,5
07030190960045,5022470,5
07030190960063,5022470,5
07030190960075,5022470,5
07030190960084,5022470,5
07030190960094,5022470,5
07030200060009,5022471,4
07030200060010,5022471,4
07030200060021,5022471,4
07030200060041,5022471,4
07030200060051,5022471,4
07030200060057,5022471,4
07030200060072,5022471,4
07030200060093,5022471,4
07030200300006,5022471,4
07030200300011,5022471,4
07030200300013,5022471,4
07030200300017,5022471,4
07030200300019,5022471,4
07030200300025,5022471,4
07030200300032,5022471,4
07030200300039,5022471,4
07030210310002,5022471,4
07030210310003,5022471,4
07030210310008,5022471,4
07030210310010,5022471,4
07030210310012,5022471,4
07030210310037,5022471,4
07030210310061,5022471,4
07030210310071,5022471,4
07030210770004,5022471,4
07030210770008,5022471,4
07030210770009,5022471,4
07030210770016,5022471,4
07030210770018,5022471,4
07030210770019,5022471,4
07030210770037,5022471,4
07030210770049,5022471,4
07030211560034,5022471,4
07030211560036,5022471,4
07030211560044,5022471,4
07030211560048,5022471,4
07030211560059,5022471,4
07030211560062,5022471,4
07030211560068,5022471,4
07030211560092,5022471,4
07030220250006,5022471,4
07030220250055,5022471,4
07030220250086,5022471,4
07030220250090,5022471,4
07030220250114,5022471,4
07030220250115,5022471,4
07030220250116,5022471,4
07030220250168,5022471,4
07030220290034,5022471,4
07030220290036,5022471,4
07030220290044,5022471,4
07030220290048,5022471,4
07030220290059,5022471,4
07030220290062,5022471,4
07030220290072,5022471,4
07030220290092,5022471,4
07030220360006,5022471,4
07030220360050,5022471,4
07030220360054,5022471,4
07030220360055,5022471,4
07030220360090,5022471,4
07030220360091,5022471,4
07030220360092,5022471,4
07030220360116,5022471,4
07030230030028,5035434,
07030230030042,5035434,
07030230030044,5035434,
07030230030059,5035434,
07030230030089,5035434,
07030230030103,5035434,
07030230030112,5035434,
07030230030124,5035434,
07030230040068,5035433,4
07030230040092,5035433,4
07030230040175,5035433,4
07030230040188,5035433,4
07030230040300,5035433,4
07030230040322,5035433,4
07030230040557,5035433,4
07030230040652,5035433,4
08010010030033,5108870,6
08010010030103,5108870,6
08010010030127,5108870,6
08010010030161,5108870,6
08010010030165,5108870,6
08010010030167,5108870,6
08010010030212,5108870,6
08010010030220,5108870,6
08010060090148,5104547,6
08010060090176,5104547,6
08010060090217,5104547,6
08010060090263,5104547,6
08010060090297,5104547,6
08010060090317,5104547,6
08010060090321,5104547,6
08010060090401,5104547,6
08010080030068,5121826,3
08010080030092,5121826,3
08010080030175,5121826,3
08010080030188,5121826,3
08010080030300,5121826,3
08010080030322,5121826,3
08010080030411,5121826,3
08010080030652,5121826,3
08010160070015,5139114,5
08010160070016,5139114,5
08010160070049,5139114,5
08010160070060,5139114,5
08010160070097,5139114,5
